date time,millis,samp_temp,samp_press,samp_flow,pump_status,ozone,photo_samp_valve,photo_ref_valve,photo_samp_detect,photo_ref_detect,photo_raw_ozone,photo_ozone_noise,photo_lamp_temp,photo_enc_temp
04/21/17 00:00:00,32.2,671,777,1,3.1,0,0,1.2996,1.29962,1.2,0.6,50,35.2,
04/21/17 00:30:00,32.3,670.9,778,1,1.3,0,1,1.30025,1.30026,0.1,0.5,50,35.4,
04/21/17 01:00:00,32.3,670.5,776,1,3.5,0,0,1.29977,1.2998,1.4,0.7,50,35.3,
04/21/17 01:30:00,32.5,670.4,777,1,3.2,0,0,1.30006,1.30008,1.2,0.5,50,35.6,
04/21/17 02:00:00,32.2,670.4,776,1,1.7,0,0,1.29969,1.2997,0.4,0.5,50,35.2,
04/21/17 02:30:00,32.2,670.3,776,1,0.5,0,0,1.29992,1.29991,-0.4,0.6,50,35.1,
04/21/17 03:00:00,32.2,670.3,776,1,0.8,0,0,1.3001,1.3001,-0.2,0.6,50,35.1,
04/21/17 03:30:00,32.1,670.4,775,1,1.6,0,0,1.30019,1.3002,0.3,0.6,50,35.1,
04/21/17 04:00:00,32.1,670.5,776,1,2.8,0,0,1.30028,1.3003,1,0.6,50,35.1,
04/21/17 04:30:00,32.1,670.6,774,1,3.2,0,0,1.30036,1.30039,1.3,0.5,50,35.1,
04/21/17 05:00:00,32.1,670.8,775,1,1.3,0,0,1.30042,1.30042,0.1,0.5,50,35.1,
04/21/17 05:30:00,32.1,671,775,1,0.9,0,0,1.30046,1.30046,-0.2,0.5,50,35.1,
04/21/17 06:00:00,32.1,671.4,775,1,0.7,0,0,1.30051,1.3005,-0.3,0.6,50,35.1,
04/21/17 06:30:00,32.1,671.8,774,1,0.4,0,0,1.30055,1.30055,-0.5,0.5,50,35.1,
04/21/17 07:00:00,32,672.1,772,1,0.7,0,0,1.30062,1.30062,-0.3,0.5,50,35,
04/21/17 07:30:00,31.9,672.4,772,1,2.5,0,0,1.3007,1.30072,0.8,0.5,50,34.9,
04/21/17 08:00:00,31.9,672.6,772,1,4.9,0,0,1.30078,1.30082,2.4,0.6,50,34.9,
04/21/17 08:30:00,32.1,672.4,774,1,6.9,0,0,1.30124,1.30131,3.6,0.7,50,35.1,
04/21/17 09:00:00,32.1,672.2,777,1,11.1,0,0,1.30073,1.30084,6.2,0.6,50,35,
04/21/17 09:30:00,32.1,671.9,777,1,14.3,0,0,1.3007,1.30086,8.2,0.8,50,35.1,
04/21/17 10:00:00,32.4,671.7,776,1,18.8,0,0,1.30053,1.30074,11,1.1,50,35.3,
04/21/17 10:30:00,33,671.6,777,1,21.7,0,0,1.30028,1.30052,12.8,1.2,50.1,35.7,
04/21/17 11:00:00,36,671,773,1,26.5,0,0,1.29866,1.29895,15.6,1.6,50.3,37.4,
04/21/17 11:30:00,38.4,670.5,772,1,30.6,0,0,1.295,1.29534,17.9,1.4,50.5,39.4,
04/21/17 12:00:00,39.9,669.9,773,1,36.5,0,0,1.29106,1.29146,21.4,1.6,50.5,41,
04/21/17 12:30:00,37.1,669.5,775,1,42.4,0,0,1.28705,1.28752,25.3,1.4,50,38.2,
04/21/17 13:00:00,34.5,669.3,775,1,43.9,0,0,1.28864,1.28913,26.3,1.4,49.8,35.9,
